日付,レース場コード,レース場名,レース番号,選手枠番,選手ナンバー,レーサーID,レーサー名,年齢,体重,展示タイム,スタートタイミング,レースタイム,最終着順
2024-01-01,24,大村,1,1,1,3501,川　上　　昇　平,50,12,6.89,0.08,1.49.7,2
2024-01-01,24,大村,1,2,3,4299,中　島　　浩　哉,59,49,6.87,0.08,1.50.1,4
2024-01-01,24,大村,1,3,6,3773,津　留　　浩一郎,57,25,6.77,0.11,1.51.3,4
2024-01-01,24,大村,1,4,5,4393,田　中　　孝　明,31,45,6.86,0.09,1.51.6,3
2024-01-01,24,大村,1,5,2,5129,山　口　　真喜子,46,61,6.83,0.13,,4
2024-01-01,24,大村,1,6,4,4855,江　頭　　賢　太,18,67,6.83,0.21,,1
2024-01-01,24,大村,2,1,1,4315,山　崎　　昂　介,74,22,6.79,0.24,1.48.3,2
2024-01-01,24,大村,2,2,5,4241,大　串　　重　幸,72,32,6.84,0.17,1.50.6,4
2024-01-01,24,大村,2,3,2,4603,谷　川　　将　太,26,57,6.83,0.21,1.51.1,3
2024-01-01,24,大村,2,4,4,5219,森　口　　和　紀,66,54,6.85,0.16,1.52.7,4
2024-01-01,24,大村,2,5,3,5048,眞　鳥　　康　太,28,58,6.87,0.19,,1
2024-01-01,24,大村,2,6,6,4705,吉　川　　勇　作,70,41,6.84,0.19,,4
2024-01-01,24,大村,3,1,1,3752,宇　土　　泰　就,68,29,6.84,0.08,1.48.5,2
2024-01-01,24,大村,3,2,2,4352,下　條　　雄太郎,39,19,6.84,0.05,1.49.4,1
2024-01-01,24,大村,3,3,4,4924,中　北　　　　涼,76,39,6.82,0.12,1.51.7,4
2024-01-01,24,大村,3,4,6,4695,尾　崎　　雄　二,11,63,6.88,0.22,1.52.3,3
2024-01-01,24,大村,3,5,3,4498,宮　本　　夏　樹,53,11,6.8,0.09,,4
2024-01-01,24,大村,3,6,5,3906,飯　山　　晃　三,41,24,6.88,0.17,,4
2024-01-01,24,大村,4,1,3,3944,山　口　　裕　二,16,16,6.85,0.08,1.48.9,3
2024-01-01,24,大村,4,2,1,4248,岡　本　　　　大,22,72,6.93,0.09,1.50.0,4
2024-01-01,24,大村,4,3,6,4096,石　橋　　道　友,21,56,6.79,0.05,1.51.6,4
2024-01-01,24,大村,4,4,2,4004,山　本　　浩　輔,47,17,6.82,0.11,1.52.2,4
2024-01-01,24,大村,4,5,4,4638,小　林　　遼　太,24,53,6.84,0.16,,2
2024-01-01,24,大村,4,6,5,5195,北　村　　寧　々,17,37,6.88,0.14,,1
2024-01-01,24,大村,5,1,1,4332,村　上　　彰　一,37,26,6.85,0.08,1.48.2,1
2024-01-01,24,大村,5,2,5,4259,真　庭　　明　志,12,73,6.88,0.12,1.48.9,4
2024-01-01,24,大村,5,3,3,4715,村　上　　　　遼,38,48,6.86,0.09,1.51.5,2
2024-01-01,24,大村,5,4,4,4213,重　富　　伸　也,71,34,6.78,0.11,1.52.8,3
2024-01-01,24,大村,5,5,6,3964,宮　地　　博　士,58,15,6.84,0.18,,4
2024-01-01,24,大村,5,6,2,5208,屋　良　　龍　紀,44,44,6.85,0.06,,4
2024-01-01,24,大村,6,1,1,5086,本　村　　　　大,67,46,6.79,0.1,1.46.3,2
2024-01-01,24,大村,6,2,2,4705,吉　川　　勇　作,70,41,6.87,0.11,1.50.0,3
2024-01-01,24,大村,6,3,4,4497,桑　原　　　　悠,15,76,6.86,0.18,1.51.2,4
2024-01-01,24,大村,6,4,3,5124,上　瀧　　絢　也,63,18,6.87,0.12,1.51.5,4
2024-01-01,24,大村,6,5,6,4919,吉　田　　翔　悟,23,62,6.84,0.26,,1
2024-01-01,24,大村,6,6,5,4301,関　　　　裕　也,25,66,6.91,0.21,,4
2024-01-01,24,大村,7,1,3,4151,下　河　　誉　史,51,27,6.86,0.16,1.48.6,4
2024-01-01,24,大村,7,2,1,4171,榎　　　　幸　司,35,75,6.93,0.21,1.49.4,1
2024-01-01,24,大村,7,3,4,4966,田　川　　大　貴,60,74,6.87,0.09,1.51.1,2
2024-01-01,24,大村,7,4,2,3773,津　留　　浩一郎,57,25,6.79,0.16,1.52.2,4
