date,venue_code,venue_name,race_number,finish_position,boat_number,racer_id,racer_name,exhibition_time,start_timing,race_time
2024-01-01,24,大村,1,2,1,3501,川　上　　昇　平,6.89,0.08,1.49.7
2024-01-01,24,大村,1,4,3,4299,中　島　　浩　哉,6.87,0.08,1.50.1
2024-01-01,24,大村,1,4,6,3773,津　留　　浩一郎,6.77,0.11,1.51.3
2024-01-01,24,大村,1,3,5,4393,田　中　　孝　明,6.86,0.09,1.51.6
2024-01-01,24,大村,1,4,2,5129,山　口　　真喜子,6.83,0.13,
2024-01-01,24,大村,1,1,4,4855,江　頭　　賢　太,6.83,0.21,
2024-01-01,24,大村,2,2,1,4315,山　崎　　昂　介,6.79,0.24,1.48.3
2024-01-01,24,大村,2,4,5,4241,大　串　　重　幸,6.84,0.17,1.50.6
2024-01-01,24,大村,2,3,2,4603,谷　川　　将　太,6.83,0.21,1.51.1
2024-01-01,24,大村,2,4,4,5219,森　口　　和　紀,6.85,0.16,1.52.7
2024-01-01,24,大村,2,1,3,5048,眞　鳥　　康　太,6.87,0.19,
2024-01-01,24,大村,2,4,6,4705,吉　川　　勇　作,6.84,0.19,
2024-01-01,24,大村,3,2,1,3752,宇　土　　泰　就,6.84,0.08,1.48.5
2024-01-01,24,大村,3,1,2,4352,下　條　　雄太郎,6.84,0.05,1.49.4
2024-01-01,24,大村,3,4,4,4924,中　北　　　　涼,6.82,0.12,1.51.7
2024-01-01,24,大村,3,3,6,4695,尾　崎　　雄　二,6.88,0.22,1.52.3
2024-01-01,24,大村,3,4,3,4498,宮　本　　夏　樹,6.8,0.09,
2024-01-01,24,大村,3,4,5,3906,飯　山　　晃　三,6.88,0.17,
2024-01-01,24,大村,4,3,3,3944,山　口　　裕　二,6.85,0.08,1.48.9
2024-01-01,24,大村,4,4,1,4248,岡　本　　　　大,6.93,0.09,1.50.0
2024-01-01,24,大村,4,4,6,4096,石　橋　　道　友,6.79,0.05,1.51.6
2024-01-01,24,大村,4,4,2,4004,山　本　　浩　輔,6.82,0.11,1.52.2
2024-01-01,24,大村,4,2,4,4638,小　林　　遼　太,6.84,0.16,
2024-01-01,24,大村,4,1,5,5195,北　村　　寧　々,6.88,0.14,
2024-01-01,24,大村,5,1,1,4332,村　上　　彰　一,6.85,0.08,1.48.2
2024-01-01,24,大村,5,4,5,4259,真　庭　　明　志,6.88,0.12,1.48.9
2024-01-01,24,大村,5,2,3,4715,村　上　　　　遼,6.86,0.09,1.51.5
2024-01-01,24,大村,5,3,4,4213,重　富　　伸　也,6.78,0.11,1.52.8
2024-01-01,24,大村,5,4,6,3964,宮　地　　博　士,6.84,0.18,
2024-01-01,24,大村,5,4,2,5208,屋　良　　龍　紀,6.85,0.06,
2024-01-01,24,大村,6,2,1,5086,本　村　　　　大,6.79,0.1,1.46.3
2024-01-01,24,大村,6,3,2,4705,吉　川　　勇　作,6.87,0.11,1.50.0
2024-01-01,24,大村,6,4,4,4497,桑　原　　　　悠,6.86,0.18,1.51.2
2024-01-01,24,大村,6,4,3,5124,上　瀧　　絢　也,6.87,0.12,1.51.5
2024-01-01,24,大村,6,1,6,4919,吉　田　　翔　悟,6.84,0.26,
2024-01-01,24,大村,6,4,5,4301,関　　　　裕　也,6.91,0.21,
2024-01-01,24,大村,7,4,3,4151,下　河　　誉　史,6.86,0.16,1.48.6
2024-01-01,24,大村,7,1,1,4171,榎　　　　幸　司,6.93,0.21,1.49.4
2024-01-01,24,大村,7,2,4,4966,田　川　　大　貴,6.87,0.09,1.51.1
2024-01-01,24,大村,7,4,2,3773,津　留　　浩一郎,6.79,0.16,1.52.2
2024-01-01,24,大村,7,3,5,4603,谷　川　　将　太,6.83,0.07,
2024-01-01,24,大村,7,4,6,5011,高　木　　圭　大,6.94,0.11,
2024-01-01,24,大村,8,1,1,4236,松　村　　　　敏,6.84,0.18,1.48.1
2024-01-01,24,大村,8,3,5,4315,山　崎　　昂　介,6.79,0.16,1.49.3
2024-01-01,24,大村,8,4,2,3906,飯　山　　晃　三,6.97,0.23,1.50.5
2024-01-01,24,大村,8,4,6,4004,山　本　　浩　輔,6.86,0.14,1.52.1
2024-01-01,24,大村,8,2,3,4822,百　武　　　　翔,6.91,0.21,
2024-01-01,24,大村,8,4,4,3501,川　上　　昇　平,6.9,0.18,
2024-01-01,24,大村,9,4,1,4924,中　北　　　　涼,6.83,0.14,1.48.3
2024-01-01,24,大村,9,3,5,5129,山　口　　真喜子,6.88,0.19,1.49.4
2024-01-01,24,大村,9,1,3,4088,野　田　　祥　子,6.83,0.23,1.51.3
2024-01-01,24,大村,9,4,2,5195,北　村　　寧　々,6.87,0.16,1.53.1
2024-01-01,24,大村,9,4,6,5250,嶋　田　　有　里,6.84,0.19,
2024-01-01,24,大村,9,2,4,5227,川　原　　愛　未,6.89,0.24,
2024-01-01,24,大村,10,1,1,3527,中　嶋　　誠一郎,6.87,0.01,1.48.2
2024-01-01,24,大村,10,2,2,4948,木　場　　悠　介,6.83,0.1,1.49.7
2024-01-01,24,大村,10,4,5,5086,本　村　　　　大,6.78,0.16,1.50.8
2024-01-01,24,大村,10,3,4,3843,上　之　　晃　弘,6.85,0.1,1.50.9
2024-01-01,24,大村,10,4,3,4241,大　串　　重　幸,6.85,0.18,
2024-01-01,24,大村,10,4,6,4981,牧　山　　敦　也,6.92,0.21,
2024-01-01,24,大村,11,4,4,4498,宮　本　　夏　樹,6.85,0.16,1.48.7
2024-01-01,24,大村,11,4,5,5048,眞　鳥　　康　太,6.86,0.17,1.50.3
2024-01-01,24,大村,11,1,1,3944,山　口　　裕　二,6.82,0.22,1.51.6
2024-01-01,24,大村,11,3,3,4919,吉　田　　翔　悟,6.82,0.24,1.52.3
2024-01-01,24,大村,11,2,6,4966,田　川　　大　貴,6.84,0.17,
2024-01-01,24,大村,11,4,2,4259,真　庭　　明　志,6.86,0.23,
2024-01-01,24,大村,12,1,1,4497,桑　原　　　　悠,6.84,0.12,1.47.8
2024-01-01,24,大村,12,4,4,4352,下　條　　雄太郎,6.87,0.2,1.49.0
2024-01-01,24,大村,12,2,2,4096,石　橋　　道　友,6.79,0.18,1.49.7
2024-01-01,24,大村,12,4,3,4236,松　村　　　　敏,6.87,0.14,1.51.0
2024-01-01,24,大村,12,4,5,4171,榎　　　　幸　司,6.88,0.26,
2024-01-01,24,大村,12,3,6,4715,村　上　　　　遼,6.86,0.18,
2024-01-01,24,大村,1,2,1,4932,新　開　　　　航,6.63,0.12,1.45.2
2024-01-01,24,大村,1,4,3,3804,中　渡　　修　作,6.73,0.13,1.49.5
2024-01-01,24,大村,1,4,2,3434,松　尾　　宣　邦,6.75,0.14,1.51.3
2024-01-01,24,大村,1,4,6,4346,前　田　　健太郎,6.79,0.21,1.52.3
2024-01-01,24,大村,1,1,4,5008,羽　野　　　　諒,6.73,0.19,
2024-01-01,24,大村,1,3,5,5286,坂　井　　滉　哉,6.71,0.21,
2024-01-01,24,大村,2,4,6,4588,田　中　　京　介,6.68,0.23,1.51.2
2024-01-01,24,大村,2,3,2,4355,小　川　　広　大,6.72,0.23,1.52.3
2024-01-01,24,大村,2,1,3,3741,松　尾　　基　成,6.66,0.21,
2024-01-01,24,大村,3,2,1,4189,川　上　　　　剛,6.67,0.2,1.48.2
2024-01-01,24,大村,3,4,5,3514,山　一　　鉄　也,6.68,0.1,1.49.0
2024-01-01,24,大村,3,4,3,4451,松　崎　　祐太郎,6.71,0.12,1.50.3
2024-01-01,24,大村,3,1,2,4368,山　口　　隆　史,6.7,0.14,1.51.5
2024-01-01,24,大村,3,3,6,5012,加　倉　　侑　征,6.73,0.11,
2024-01-01,24,大村,3,4,4,4406,幸　野　　史　明,6.66,0.09,
2024-01-01,24,大村,4,2,4,5207,高　山　　敬　悟,6.72,0.14,1.48.2
2024-01-01,24,大村,4,4,1,4522,古　澤　　光　紀,6.69,0.22,1.51.0
2024-01-01,24,大村,4,4,2,4551,三　川　　昂　暁,6.74,0.22,1.52.7
2024-01-01,24,大村,4,4,6,5268,山　本　　幸　也,6.77,0.27,
2024-01-01,24,大村,4,3,3,5073,上　原　　健次郎,6.73,0.26,
2024-01-01,24,大村,5,1,1,3783,瓜　生　　正　義,6.66,0.13,1.47.2
2024-01-01,24,大村,5,4,6,4506,稗　田　　聖　也,6.7,0.16,1.50.4
2024-01-01,24,大村,5,3,4,3804,中　渡　　修　作,6.71,0.08,1.51.9
2024-01-01,24,大村,5,2,3,4094,中　島　　真　二,6.68,0.18,
2024-01-01,24,大村,5,4,2,4367,山　口　　修　路,6.69,0.18,
2024-01-01,24,大村,6,4,4,3523,寳　田　　亮　治,6.75,0.09,1.48.0
2024-01-01,24,大村,6,4,5,4364,池　永　　　　太,6.66,0.08,1.48.9
2024-01-01,24,大村,6,3,2,4684,楠　原　　翔　太,6.7,0.1,1.50.9
2024-01-01,24,大村,6,4,3,5008,羽　野　　　　諒,6.73,0.12,1.52.8
2024-01-01,24,大村,6,1,6,5274,城　間　　盛　渚,6.74,0.17,
2024-01-01,24,大村,6,2,1,4355,小　川　　広　大,6.69,0.09,
2024-01-01,24,大村,7,1,1,3703,鳥　飼　　　　眞,6.75,0.12,1.48.5
2024-01-01,24,大村,7,4,3,5012,加　倉　　侑　征,6.79,0.16,1.49.4
2024-01-01,24,大村,7,3,5,4395,下　河　　雅　史,6.71,0.17,1.50.4
2024-01-01,24,大村,7,4,6,5286,坂　井　　滉　哉,6.72,0.21,
2024-01-01,24,大村,7,2,4,3741,松　尾　　基　成,6.75,0.16,
2024-01-01,24,大村,8,1,1,4121,富　永　　修　一,6.7,0.09,1.46.9
2024-01-01,24,大村,8,3,5,4522,古　澤　　光　紀,6.65,0.12,1.48.5
2024-01-01,24,大村,8,4,2,3514,山　一　　鉄　也,6.7,0.16,1.51.9
2024-01-01,24,大村,8,4,6,3444,香　月　　大　介,6.66,0.08,
2024-01-01,24,大村,8,4,4,5268,山　本　　幸　也,6.72,0.18,
2024-01-01,24,大村,9,1,3,4588,田　中　　京　介,6.75,0.17,1.49.3
2024-01-01,24,大村,9,4,2,3574,大　神　　康　司,6.79,0.19,1.51.4
2024-01-01,24,大村,9,2,4,3434,松　尾　　宣　邦,6.78,0.13,1.52.3
2024-01-01,24,大村,9,3,5,5073,上　原　　健次郎,6.75,0.16,
2024-01-01,24,大村,10,2,2,3783,瓜　生　　正　義,6.67,0.25,1.47.8
2024-01-01,24,大村,10,3,4,4189,川　上　　　　剛,6.69,0.17,1.49.3
2024-01-01,24,大村,10,4,6,4451,松　崎　　祐太郎,6.71,0.16,1.52.0
2024-01-01,24,大村,10,4,5,4551,三　川　　昂　暁,6.7,0.13,
2024-01-01,24,大村,10,4,3,5207,高　山　　敬　悟,6.7,0.38,
2024-01-01,24,大村,11,1,1,3523,寳　田　　亮　治,6.78,0.14,1.47.4
2024-01-01,24,大村,11,4,4,4932,新　開　　　　航,6.64,0.09,1.50.6
2024-01-01,24,大村,11,4,5,4368,山　口　　隆　史,6.77,0.14,1.51.9
2024-01-01,24,大村,11,2,6,4640,山ノ内　　雅　人,6.78,0.13,
2024-01-01,24,大村,11,3,3,4395,下　河　　雅　史,6.76,0.13,
2024-01-01,24,大村,12,1,1,4364,池　永　　　　太,6.64,0.08,1.47.2
2024-01-01,24,大村,12,4,4,4424,松　尾　　昂　明,6.59,0.08,1.48.5
2024-01-01,24,大村,12,2,2,4506,稗　田　　聖　也,6.66,0.1,1.49.5
2024-01-01,24,大村,12,4,3,4684,楠　原　　翔　太,6.72,0.08,1.50.7
2024-01-01,24,大村,1,2,1,5104,山　田　　　　丈,6.83,0.08,1.49.0
2024-01-01,24,大村,1,4,2,5192,中　尾　　優　香,6.9,0.07,1.52.0
2024-01-01,24,大村,1,4,3,5210,藤　井　　公　人,6.81,0.16,1.53.2
2024-01-01,24,大村,1,3,5,5193,米　丸　　乃　絵,6.9,0.19,1.54.5
2024-01-01,24,大村,1,1,4,5148,松　本　　　　怜,6.9,0.17,
2024-01-01,24,大村,2,3,2,4180,上　野　　秀　和,6.93,0.18,1.50.0
2024-01-01,24,大村,2,1,3,4155,長　野　　壮志郎,6.86,0.11,1.52.2
2024-01-01,24,大村,2,4,6,4632,長　尾　　京志郎,6.88,0.18,1.53.0
2024-01-01,24,大村,2,2,1,5155,内　山　　七　海,6.87,0.17,1.54.3
2024-01-01,24,大村,2,4,4,4549,小　林　　文　彦,6.87,0.23,
2024-01-01,24,大村,2,4,5,4874,池　田　　奈津美,6.99,0.15,
2024-01-01,24,大村,3,4,5,5102,原　田　　雄　次,6.93,0.19,1.53.2
2024-01-01,24,大村,3,4,4,4958,溝　口　　海義也,6.88,0.18,1.54.6
2024-01-01,24,大村,3,3,6,5330,安河内　　鈴之介,6.88,0.15,
2024-01-01,24,大村,3,4,3,4046,谷　村　　啓　司,6.84,0.26,
2024-01-01,24,大村,4,1,5,4287,今　井　　貴　士,6.95,0.14,1.50.3
2024-01-01,24,大村,4,4,2,4413,水　摩　　　　敦,6.91,0.11,1.50.8
2024-01-01,24,大村,4,3,3,3662,大　庭　　元　明,6.86,0.12,1.51.7
2024-01-01,24,大村,4,4,6,4789,古　賀　　智　之,6.85,0.17,1.54.0
2024-01-01,24,大村,4,2,4,4349,犬　童　　千　秋,6.89,0.16,
2024-01-01,24,大村,4,4,1,4866,橋　本　　英　一,6.95,0.11,
2024-01-01,24,大村,5,1,1,4296,岡　崎　　恭　裕,6.9,0.12,1.50.8
2024-01-01,24,大村,5,2,3,4679,植　田　　太　一,6.91,0.13,1.51.5
2024-01-01,24,大村,5,3,4,4402,乙　藤　　智　史,6.89,0.17,1.52.4
2024-01-01,24,大村,5,4,5,5258,仲　本　　　　舜,6.95,0.16,
2024-01-01,24,大村,5,4,6,5203,神　里　　琴　音,6.87,0.13,
2024-01-01,24,大村,6,1,6,3919,村　上　　　　純,6.96,0.09,1.51.1
2024-01-01,24,大村,6,4,5,4148,枝　尾　　　　賢,6.9,0.14,1.52.4
2024-01-01,24,大村,6,2,1,3352,小　川　　晃　司,6.99,0.11,1.54.3
2024-01-01,24,大村,6,3,2,4549,小　林　　文　彦,6.94,0.15,
2024-01-01,24,大村,7,3,5,4371,西　山　　貴　浩,6.96,0.17,1.50.9
2024-01-01,24,大村,7,2,4,4100,松　田　　隆　司,6.94,0.15,1.51.6
2024-01-01,24,大村,7,4,2,4046,谷　村　　啓　司,6.86,0.19,1.54.1
2024-01-01,24,大村,7,4,3,4079,出　畑　　孝　典,6.87,0.18,
2024-01-01,24,大村,7,4,6,4252,松　下　　哲　也,6.95,0.21,
2024-01-01,24,大村,8,1,1,4848,仲　谷　　颯　仁,6.84,0.03,1.49.4
2024-01-01,24,大村,8,4,2,3662,大　庭　　元　明,6.89,0.0,1.51.2
2024-01-01,24,大村,8,4,6,5162,松　尾　　怜　実,6.88,0.07,1.54.7
2024-01-01,24,大村,9,1,3,5144,中　尾　　彩　香,6.91,0.11,1.59.1
2024-01-01,24,大村,9,4,2,4314,青　木　　幸太郎,6.85,0.16,2.01.2
2024-01-01,24,大村,9,4,6,4487,三　原　　　　司,6.9,0.15,
